,Code,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations,OWID,iso2Code,name,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude,WB
20.0,BEN,Benin,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,BEN,BJ,Benin,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Porto-Novo,2.6323,6.4779,BEN
21.0,BES,Bonaire Sint Eustatius and Saba,North America,,,Latin America and Caribbean,BES,,,,,,,,,,
22.0,BFA,Burkina Faso,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,BFA,BF,Burkina Faso,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Ouagadougou,-1.53395,12.3605,BFA
23.0,BGD,Bangladesh,Asia,South-East Asia,South Asia,Central and Southern Asia,BGD,BD,Bangladesh,South Asia,South Asia,Lower middle income,IDA,Dhaka,90.4113,23.7055,BGD
24.0,BGR,Bulgaria,Europe,Europe,Europe and Central Asia,Europe and Northern America,BGR,BG,Bulgaria,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sofia,23.3238,42.7105,BGR
25.0,BHR,Bahrain,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,BHR,BH,Bahrain,Middle East & North Africa,,High income,Not classified,Manama,50.5354,26.1921,BHR
26.0,BHS,Bahamas,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,BHS,BS,"Bahamas, The",Latin America & Caribbean ,,High income,Not classified,Nassau,-77.339,25.0661,BHS
27.0,BIH,Bosnia and Herzegovina,Europe,Europe,Europe and Central Asia,Europe and Northern America,BIH,BA,Bosnia and Herzegovina,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Sarajevo,18.4214,43.8607,BIH
28.0,BLM,Saint Barthélemy,North America,,,,BLM,,,,,,,,,,
29.0,BLR,Belarus,Europe,Europe,Europe and Central Asia,Europe and Northern America,BLR,BY,Belarus,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Minsk,27.5766,53.9678,BLR
30.0,BLZ,Belize,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,BLZ,BZ,Belize,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,Belmopan,-88.7713,17.2534,BLZ
31.0,BMU,Bermuda,North America,,North America,Europe and Northern America,BMU,BM,Bermuda,North America,,High income,Not classified,Hamilton,-64.706,32.3293,BMU
32.0,BOL,Bolivia,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,BOL,BO,Bolivia,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,La Paz,-66.1936,-13.9908,BOL
33.0,BRA,Brazil,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,BRA,BR,Brazil,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Brasilia,-47.9292,-15.7801,BRA
34.0,BRB,Barbados,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,BRB,BB,Barbados,Latin America & Caribbean ,,High income,Not classified,Bridgetown,-59.6105,13.0935,BRB
35.0,BRN,Brunei,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,BRN,BN,Brunei Darussalam,East Asia & Pacific,,High income,Not classified,Bandar Seri Begawan,114.946,4.94199,BRN
36.0,BTN,Bhutan,Asia,South-East Asia,South Asia,Central and Southern Asia,BTN,BT,Bhutan,South Asia,South Asia,Lower middle income,IDA,Thimphu,89.6177,27.5768,BTN
37.0,BVT,Bouvet Island,Antarctica,,,,BVT,,,,,,,,,,
38.0,BWA,Botswana,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,BWA,BW,Botswana,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Gaborone,25.9201,-24.6544,BWA
39.0,CAF,Central African Republic,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,CAF,CF,Central African Republic,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bangui,21.6407,5.63056,CAF
40.0,CAN,Canada,North America,Americas,North America,Europe and Northern America,CAN,CA,Canada,North America,,High income,Not classified,Ottawa,-75.6919,45.4215,CAN
41.0,CCK,Cocos (Keeling) Islands,Asia,,,Oceania,CCK,,,,,,,,,,
42.0,CHE,Switzerland,Europe,Europe,Europe and Central Asia,Europe and Northern America,CHE,CH,Switzerland,Europe & Central Asia,,High income,Not classified,Bern,7.44821,46.948,CHE
43.0,CHL,Chile,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,CHL,CL,Chile,Latin America & Caribbean ,,High income,IBRD,Santiago,-70.6475,-33.475,CHL
44.0,CHN,China,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,CHN,CN,China,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Beijing,116.286,40.0495,CHN
45.0,CIV,Cote d'Ivoire,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,CIV,CI,Cote d'Ivoire,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Yamoussoukro,-4.0305,5.332,CIV
46.0,CMR,Cameroon,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,CMR,CM,Cameroon,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Yaounde,11.5174,3.8721,CMR
47.0,COD,Democratic Republic of Congo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,COD,CD,"Congo, Dem. Rep.",Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kinshasa,15.3222,-4.325,COD
48.0,COG,Congo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,COG,CG,"Congo, Rep.",Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Brazzaville,15.2662,-4.2767,COG
49.0,COK,Cook Islands,Oceania,Western Pacific,,Oceania,COK,,,,,,,,,,
50.0,COL,Colombia,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,COL,CO,Colombia,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Bogota,-74.082,4.60987,COL
51.0,COM,Comoros,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,COM,KM,Comoros,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Moroni,43.2418,-11.6986,COM
52.0,CPV,Cape Verde,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,CPV,CV,Cabo Verde,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Praia,-23.5087,14.9218,CPV
53.0,CRI,Costa Rica,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,CRI,CR,Costa Rica,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,San Jose,-84.0089,9.63701,CRI
54.0,CUB,Cuba,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,CUB,CU,Cuba,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Not classified,Havana,-82.3667,23.1333,CUB
55.0,CUW,Curacao,North America,,Latin America and Caribbean,Latin America and Caribbean,CUW,CW,Curacao,Latin America & Caribbean ,,High income,Not classified,Willemstad,,,CUW
56.0,CXR,Christmas Island,Asia,,,Oceania,CXR,,,,,,,,,,
57.0,CYM,Cayman Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,CYM,KY,Cayman Islands,Latin America & Caribbean ,,High income,Not classified,George Town,-81.3857,19.3022,CYM
58.0,CYP,Cyprus,Europe,Europe,Europe and Central Asia,Northern Africa and Western Asia,CYP,CY,Cyprus,Europe & Central Asia,,High income,Not classified,Nicosia,33.3736,35.1676,CYP
59.0,CZE,Czechia,Europe,Europe,Europe and Central Asia,Europe and Northern America,CZE,CZ,Czech Republic,Europe & Central Asia,,High income,Not classified,Prague,14.4205,50.0878,CZE
60.0,DEU,Germany,Europe,Europe,Europe and Central Asia,Europe and Northern America,DEU,DE,Germany,Europe & Central Asia,,High income,Not classified,Berlin,13.4115,52.5235,DEU
61.0,DJI,Djibouti,Africa,Eastern Mediterranean,Middle East and North Africa,Middle East and North Africa,DJI,DJ,Djibouti,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IDA,Djibouti,43.1425,11.5806,DJI
62.0,DMA,Dominica,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,DMA,DM,Dominica,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Roseau,-61.39,15.2976,DMA
63.0,DNK,Denmark,Europe,Europe,Europe and Central Asia,Europe and Northern America,DNK,DK,Denmark,Europe & Central Asia,,High income,Not classified,Copenhagen,12.5681,55.6763,DNK
64.0,DOM,Dominican Republic,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,DOM,DO,Dominican Republic,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Santo Domingo,-69.8908,18.479,DOM
65.0,DZA,Algeria,Africa,Africa,Middle East and North Africa,Northern Africa and Western Asia,DZA,DZ,Algeria,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Algiers,3.05097,36.7397,DZA
66.0,ECU,Ecuador,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,ECU,EC,Ecuador,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Quito,-78.5243,-0.229498,ECU
67.0,EGY,Egypt,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,EGY,EG,"Egypt, Arab Rep.",Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Cairo,31.2461,30.0982,EGY
68.0,ERI,Eritrea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ERI,ER,Eritrea,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Asmara,38.9183,15.3315,ERI
69.0,ESH,Western Sahara,Africa,,,Northern Africa and Western Asia,ESH,,,,,,,,,,
70.0,ESP,Spain,Europe,Europe,Europe and Central Asia,Europe and Northern America,ESP,ES,Spain,Europe & Central Asia,,High income,Not classified,Madrid,-3.70327,40.4167,ESP
71.0,EST,Estonia,Europe,Europe,Europe and Central Asia,Europe and Northern America,EST,EE,Estonia,Europe & Central Asia,,High income,Not classified,Tallinn,24.7586,59.4392,EST
72.0,ETH,Ethiopia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ETH,ET,Ethiopia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Addis Ababa,38.7468,9.02274,ETH
73.0,FIN,Finland,Europe,Europe,Europe and Central Asia,Europe and Northern America,FIN,FI,Finland,Europe & Central Asia,,High income,Not classified,Helsinki,24.9525,60.1608,FIN
74.0,FJI,Fiji,Oceania,Western Pacific,East Asia and Pacific,Oceania,FJI,FJ,Fiji,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,Blend,Suva,178.399,-18.1149,FJI
75.0,FLK,Falkland Islands,South America,,,Latin America and Caribbean,FLK,,,,,,,,,,
76.0,FRA,France,Europe,Europe,Europe and Central Asia,Europe and Northern America,FRA,FR,France,Europe & Central Asia,,High income,Not classified,Paris,2.35097,48.8566,FRA
77.0,FRO,Faeroe Islands,Europe,,Europe and Central Asia,Europe and Northern America,FRO,FO,Faroe Islands,Europe & Central Asia,,High income,Not classified,Torshavn,-6.91181,61.8926,FRO
78.0,FSM,Micronesia,Oceania,Western Pacific,East Asia and Pacific,Oceania,FSM,FM,"Micronesia, Fed. Sts.",East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Palikir,158.185,6.91771,FSM
79.0,GAB,Gabon,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GAB,GA,Gabon,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Libreville,9.45162,0.38832,GAB
80.0,GBR,United Kingdom,Europe,Europe,Europe and Central Asia,Europe and Northern America,GBR,GB,United Kingdom,Europe & Central Asia,,High income,Not classified,London,-0.126236,51.5002,GBR
81.0,GEO,Georgia,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia,GEO,GE,Georgia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Tbilisi,44.793,41.71,GEO
82.0,GGY,Guernsey,Europe,,,,GGY,,,,,,,,,,
83.0,GHA,Ghana,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GHA,GH,Ghana,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Accra,-0.20795,5.57045,GHA
84.0,GIB,Gibraltar,Europe,,Europe and Central Asia,Europe and Northern America,GIB,GI,Gibraltar,Europe & Central Asia,,High income,Not classified,,,,GIB
85.0,GIN,Guinea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GIN,GN,Guinea,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Conakry,-13.7,9.51667,GIN
86.0,GLP,Guadeloupe,North America,,,Latin America and Caribbean,GLP,,,,,,,,,,
87.0,GMB,Gambia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GMB,GM,"Gambia, The",Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Banjul,-16.5885,13.4495,GMB
88.0,GNB,Guinea-Bissau,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GNB,GW,Guinea-Bissau,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bissau,-15.1804,11.8037,GNB
89.0,GNQ,Equatorial Guinea,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,GNQ,GQ,Equatorial Guinea,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Malabo,8.7741,3.7523,GNQ
90.0,GRC,Greece,Europe,Europe,Europe and Central Asia,Europe and Northern America,GRC,GR,Greece,Europe & Central Asia,,High income,Not classified,Athens,23.7166,37.9792,GRC
91.0,GRD,Grenada,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,GRD,GD,Grenada,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Saint George's,-61.7449,12.0653,GRD
92.0,GRL,Greenland,North America,,Europe and Central Asia,Europe and Northern America,GRL,GL,Greenland,Europe & Central Asia,,High income,Not classified,Nuuk,-51.7214,64.1836,GRL
93.0,GTM,Guatemala,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,GTM,GT,Guatemala,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Guatemala City,-90.5328,14.6248,GTM
94.0,GUF,French Guiana,South America,,,Latin America and Caribbean,GUF,,,,,,,,,,
95.0,GUM,Guam,Oceania,,East Asia and Pacific,Oceania,GUM,GU,Guam,East Asia & Pacific,,High income,Not classified,Agana,144.794,13.4443,GUM
96.0,GUY,Guyana,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,GUY,GY,Guyana,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IDA,Georgetown,-58.1548,6.80461,GUY
97.0,HKG,Hong Kong,Asia,,East Asia and Pacific,Eastern and South-Eastern Asia,HKG,HK,"Hong Kong SAR, China",East Asia & Pacific,,High income,Not classified,,114.109,22.3964,HKG
98.0,HMD,Heard Island and McDonald Islands,Antarctica,,,Oceania,HMD,,,,,,,,,,
99.0,HND,Honduras,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,HND,HN,Honduras,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IDA,Tegucigalpa,-87.4667,15.1333,HND
100.0,HRV,Croatia,Europe,Europe,Europe and Central Asia,Europe and Northern America,HRV,HR,Croatia,Europe & Central Asia,,High income,IBRD,Zagreb,15.9614,45.8069,HRV
101.0,HTI,Haiti,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,HTI,HT,Haiti,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IDA,Port-au-Prince,-72.3288,18.5392,HTI
102.0,HUN,Hungary,Europe,Europe,Europe and Central Asia,Europe and Northern America,HUN,HU,Hungary,Europe & Central Asia,,High income,Not classified,Budapest,19.0408,47.4984,HUN
103.0,IDN,Indonesia,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,IDN,ID,Indonesia,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Jakarta,106.83,-6.19752,IDN
104.0,IMN,Isle of Man,Europe,,Europe and Central Asia,Europe and Northern America,IMN,IM,Isle of Man,Europe & Central Asia,,High income,Not classified,Douglas,-4.47928,54.1509,IMN
105.0,IND,India,Asia,South-East Asia,South Asia,Central and Southern Asia,IND,IN,India,South Asia,South Asia,Lower middle income,IBRD,New Delhi,77.225,28.6353,IND
106.0,IOT,British Indian Ocean Territory,Asia,,,,IOT,,,,,,,,,,
107.0,IRL,Ireland,Europe,Europe,Europe and Central Asia,Europe and Northern America,IRL,IE,Ireland,Europe & Central Asia,,High income,Not classified,Dublin,-6.26749,53.3441,IRL
108.0,IRN,Iran,Asia,Eastern Mediterranean,Middle East and North Africa,Central and Southern Asia,IRN,IR,"Iran, Islamic Rep.",Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Tehran,51.4447,35.6878,IRN
109.0,IRQ,Iraq,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,IRQ,IQ,Iraq,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Baghdad,44.394,33.3302,IRQ
110.0,ISL,Iceland,Europe,Europe,Europe and Central Asia,Europe and Northern America,ISL,IS,Iceland,Europe & Central Asia,,High income,Not classified,Reykjavik,-21.8952,64.1353,ISL
111.0,ISR,Israel,Asia,Europe,Middle East and North Africa,Northern Africa and Western Asia,ISR,IL,Israel,Middle East & North Africa,,High income,Not classified,,35.2035,31.7717,ISR
112.0,ITA,Italy,Europe,Europe,Europe and Central Asia,Europe and Northern America,ITA,IT,Italy,Europe & Central Asia,,High income,Not classified,Rome,12.4823,41.8955,ITA
113.0,JAM,Jamaica,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,JAM,JM,Jamaica,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Kingston,-76.792,17.9927,JAM
114.0,JEY,Jersey,Europe,,,,JEY,,,,,,,,,,
115.0,JOR,Jordan,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,JOR,JO,Jordan,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Amman,35.9263,31.9497,JOR
116.0,JPN,Japan,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,JPN,JP,Japan,East Asia & Pacific,,High income,Not classified,Tokyo,139.77,35.67,JPN
117.0,KAZ,Kazakhstan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,KAZ,KZ,Kazakhstan,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Astana,71.4382,51.1879,KAZ
118.0,KEN,Kenya,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,KEN,KE,Kenya,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Nairobi,36.8126,-1.27975,KEN
119.0,KGZ,Kyrgyzstan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,KGZ,KG,Kyrgyz Republic,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,IDA,Bishkek,74.6057,42.8851,KGZ
120.0,KHM,Cambodia,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,KHM,KH,Cambodia,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Phnom Penh,104.874,11.5556,KHM
121.0,KIR,Kiribati,Oceania,Western Pacific,East Asia and Pacific,Oceania,KIR,KI,Kiribati,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Tarawa,172.979,1.32905,KIR
122.0,KNA,Saint Kitts and Nevis,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,KNA,KN,St. Kitts and Nevis,Latin America & Caribbean ,,High income,IBRD,Basseterre,-62.7309,17.3,KNA
123.0,KOR,South Korea,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,KOR,KR,"Korea, Rep.",East Asia & Pacific,,High income,Not classified,Seoul,126.957,37.5323,KOR
124.0,KWT,Kuwait,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,KWT,KW,Kuwait,Middle East & North Africa,,High income,Not classified,Kuwait City,47.9824,29.3721,KWT
125.0,LAO,Laos,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,LAO,LA,Lao PDR,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Vientiane,102.177,18.5826,LAO
126.0,LBN,Lebanon,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,LBN,LB,Lebanon,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Beirut,35.5134,33.8872,LBN
127.0,LBR,Liberia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,LBR,LR,Liberia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Monrovia,-10.7957,6.30039,LBR
128.0,LBY,Libya,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,LBY,LY,Libya,Middle East & North Africa,Middle East & North Africa (excluding high income),Upper middle income,IBRD,Tripoli,13.1072,32.8578,LBY
129.0,LCA,Saint Lucia,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,LCA,LC,St. Lucia,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Castries,-60.9832,14.0,LCA
130.0,LIE,Liechtenstein,Europe,,Europe and Central Asia,Europe and Northern America,LIE,LI,Liechtenstein,Europe & Central Asia,,High income,Not classified,Vaduz,9.52148,47.1411,LIE
131.0,LKA,Sri Lanka,Asia,South-East Asia,South Asia,Central and Southern Asia,LKA,LK,Sri Lanka,South Asia,South Asia,Lower middle income,IBRD,Colombo,79.8528,6.92148,LKA
132.0,LSO,Lesotho,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,LSO,LS,Lesotho,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Maseru,27.7167,-29.5208,LSO
133.0,LTU,Lithuania,Europe,Europe,Europe and Central Asia,Europe and Northern America,LTU,LT,Lithuania,Europe & Central Asia,,High income,Not classified,Vilnius,25.2799,54.6896,LTU
134.0,LUX,Luxembourg,Europe,Europe,Europe and Central Asia,Europe and Northern America,LUX,LU,Luxembourg,Europe & Central Asia,,High income,Not classified,Luxembourg,6.1296,49.61,LUX
135.0,LVA,Latvia,Europe,Europe,Europe and Central Asia,Europe and Northern America,LVA,LV,Latvia,Europe & Central Asia,,High income,Not classified,Riga,24.1048,56.9465,LVA
136.0,MAC,Macao,Asia,,East Asia and Pacific,Eastern and South-Eastern Asia,MAC,MO,"Macao SAR, China",East Asia & Pacific,,High income,Not classified,,113.55,22.1667,MAC
137.0,MAF,Saint Martin (French part),North America,,Latin America and Caribbean,Latin America and Caribbean,MAF,MF,St. Martin (French part),Latin America & Caribbean ,,High income,Not classified,Marigot,,,MAF
138.0,MAR,Morocco,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,MAR,MA,Morocco,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Rabat,-6.8704,33.9905,MAR
