Code,Entity Name,Entity,Continent,WHO region,World Region according to the World Bank,world-regions-according-to-the-united-nations,OWID,WB,iso2Code3,name,region,adminregion,incomeLevel,lendingType,capitalCity,longitude,latitude
MAC,"Macao SAR, China",Macao,Asia,,East Asia and Pacific,Eastern and South-Eastern Asia,MAC,MAC,MO,"Macao SAR, China",East Asia & Pacific,,High income,Not classified,,113.55,22.1667
MAF,St. Martin (French part),Saint Martin (French part),North America,,Latin America and Caribbean,Latin America and Caribbean,MAF,MAF,MF,St. Martin (French part),Latin America & Caribbean ,,High income,Not classified,Marigot,,
MAR,Morocco,Morocco,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,MAR,MAR,MA,Morocco,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Rabat,-6.8704,33.9905
MCO,Monaco,Monaco,Europe,Europe,Europe and Central Asia,Europe and Northern America,MCO,MCO,MC,Monaco,Europe & Central Asia,,High income,Not classified,Monaco,7.41891,43.7325
MDA,Moldova,Moldova,Europe,Europe,Europe and Central Asia,Europe and Northern America,MDA,MDA,MD,Moldova,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Chisinau,28.8497,47.0167
MDG,Madagascar,Madagascar,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MDG,MDG,MG,Madagascar,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Antananarivo,45.7167,-20.4667
MDV,Maldives,Maldives,Asia,South-East Asia,South Asia,Central and Southern Asia,MDV,MDV,MV,Maldives,South Asia,South Asia,Upper middle income,IDA,Male,73.5109,4.1742
MEX,Mexico,Mexico,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,MEX,MEX,MX,Mexico,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Mexico City,-99.1276,19.427
MHL,Marshall Islands,Marshall Islands,Oceania,Western Pacific,East Asia and Pacific,Oceania,MHL,MHL,MH,Marshall Islands,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IDA,Majuro,171.135,7.11046
MKD,North Macedonia,North Macedonia,Europe,Europe,Europe and Central Asia,Europe and Northern America,MKD,MKD,MK,North Macedonia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Skopje,21.4361,42.0024
MLI,Mali,Mali,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MLI,MLI,ML,Mali,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Bamako,-7.50034,13.5667
MLT,Malta,Malta,Europe,Europe,Middle East and North Africa,Europe and Northern America,MLT,MLT,MT,Malta,Middle East & North Africa,,High income,Not classified,Valletta,14.5189,35.9042
MMR,Myanmar,Myanmar,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,MMR,MMR,MM,Myanmar,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Naypyidaw,95.9562,21.914
MNE,Montenegro,Montenegro,Europe,Europe,Europe and Central Asia,Europe and Northern America,MNE,MNE,ME,Montenegro,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Podgorica,19.2595,42.4602
MNG,Mongolia,Mongolia,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,MNG,MNG,MN,Mongolia,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Ulaanbaatar,106.937,47.9129
MNP,Northern Mariana Islands,Northern Mariana Islands,Oceania,,East Asia and Pacific,Oceania,MNP,MNP,MP,Northern Mariana Islands,East Asia & Pacific,,High income,Not classified,Saipan,145.765,15.1935
MOZ,Mozambique,Mozambique,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MOZ,MOZ,MZ,Mozambique,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Maputo,32.5713,-25.9664
MRT,Mauritania,Mauritania,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MRT,MRT,MR,Mauritania,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Nouakchott,-15.9824,18.2367
MSR,Montserrat,Montserrat,North America,,,Latin America and Caribbean,MSR,,,,,,,,,,
MTQ,Martinique,Martinique,North America,,,Latin America and Caribbean,MTQ,,,,,,,,,,
MUS,Mauritius,Mauritius,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MUS,MUS,MU,Mauritius,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Port Louis,57.4977,-20.1605
MWI,Malawi,Malawi,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,MWI,MWI,MW,Malawi,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Lilongwe,33.7703,-13.9899
MYS,Malaysia,Malaysia,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,MYS,MYS,MY,Malaysia,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Kuala Lumpur,101.684,3.12433
MYT,Mayotte,Mayotte,Africa,,,Sub-Saharan Africa,MYT,,,,,,,,,,
NAM,Namibia,Namibia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,NAM,NAM,NA,Namibia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Windhoek,17.0931,-22.5648
NCL,New Caledonia,New Caledonia,Oceania,,East Asia and Pacific,Oceania,NCL,NCL,NC,New Caledonia,East Asia & Pacific,,High income,Not classified,Noum'ea,166.464,-22.2677
NER,Niger,Niger,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,NER,NER,NE,Niger,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Niamey,2.1073,13.514
NFK,Norfolk Island,Norfolk Island,Oceania,,,Oceania,NFK,,,,,,,,,,
NGA,Nigeria,Nigeria,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,NGA,NGA,NG,Nigeria,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Abuja,7.48906,9.05804
NIC,Nicaragua,Nicaragua,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,NIC,NIC,NI,Nicaragua,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IDA,Managua,-86.2734,12.1475
NIU,Niue,Niue,Oceania,Western Pacific,,Oceania,NIU,,,,,,,,,,
NLD,Netherlands,Netherlands,Europe,Europe,Europe and Central Asia,Europe and Northern America,NLD,NLD,NL,Netherlands,Europe & Central Asia,,High income,Not classified,Amsterdam,4.89095,52.3738
NOR,Norway,Norway,Europe,Europe,Europe and Central Asia,Europe and Northern America,NOR,NOR,NO,Norway,Europe & Central Asia,,High income,Not classified,Oslo,10.7387,59.9138
NPL,Nepal,Nepal,Asia,South-East Asia,South Asia,Central and Southern Asia,NPL,NPL,NP,Nepal,South Asia,South Asia,Lower middle income,IDA,Kathmandu,85.3157,27.6939
NRU,Nauru,Nauru,Oceania,Western Pacific,East Asia and Pacific,Oceania,NRU,NRU,NR,Nauru,East Asia & Pacific,,High income,IBRD,Yaren District,166.920867,-0.5477
NZL,New Zealand,New Zealand,Oceania,Western Pacific,East Asia and Pacific,Oceania,NZL,NZL,NZ,New Zealand,East Asia & Pacific,,High income,Not classified,Wellington,174.776,-41.2865
OMN,Oman,Oman,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,OMN,OMN,OM,Oman,Middle East & North Africa,,High income,Not classified,Muscat,58.5874,23.6105
OWID_ABK,Abkhazia,Abkhazia,Asia,,,,OWID_ABK,,,,,,,,,,
OWID_AFR,Africa,Africa,,,,,OWID_AFR,AFR,A9,Africa,Aggregates,,Aggregates,Aggregates,,,
OWID_AKD,Akrotiri and Dhekelia,Akrotiri and Dhekelia,Asia,,,,OWID_AKD,,,,,,,,,,
OWID_AUH,Austria-Hungary,Austria-Hungary,Europe,,,,OWID_AUH,,,,,,,,,,
OWID_BAD,Baden,Baden,Europe,,,,OWID_BAD,,,,,,,,,,
OWID_BAV,Bavaria,Bavaria,Europe,,,,OWID_BAV,,,,,,,,,,
OWID_CIS,Channel Islands,Channel Islands,Europe,,Europe and Central Asia,Europe and Northern America,OWID_CIS,CHI,JG,Channel Islands,Europe & Central Asia,,High income,Not classified,,,
OWID_CYN,Northern Cyprus,Northern Cyprus,Asia,,,,OWID_CYN,,,,,,,,,,
OWID_CZS,Czechoslovakia,Czechoslovakia,Europe,,,,OWID_CZS,,,,,,,,,,
OWID_ERE,Eritrea and Ethiopia,Eritrea and Ethiopia,Africa,,,,OWID_ERE,,,,,,,,,,
OWID_EU27,European Union (27),European Union (27),,,,,OWID_EU27,,,,,,,,,,
OWID_EUR,Europe,Europe,,,,,OWID_EUR,,,,,,,,,,
OWID_GDR,East Germany,East Germany,Europe,,,,OWID_GDR,,,,,,,,,,
OWID_GFR,West Germany,West Germany,Europe,,,,OWID_GFR,,,,,,,,,,
OWID_HAN,Hanover,Hanover,Europe,,,,OWID_HAN,,,,,,,,,,
OWID_HSE,Hesse Electoral,Hesse Electoral,Europe,,,,OWID_HSE,,,,,,,,,,
OWID_HSG,Hesse Grand Ducal,Hesse Grand Ducal,Europe,,,,OWID_HSG,,,,,,,,,,
OWID_KOS,Kosovo,Kosovo,Europe,,Europe and Central Asia,Europe and Northern America,OWID_KOS,XKX,XK,Kosovo,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IDA,Pristina,20.926,42.565
OWID_KRU,United Korea,United Korea,Asia,,,,OWID_KRU,,,,,,,,,,
OWID_MEC,Mecklenburg Schwerin,Mecklenburg Schwerin,Europe,,,,OWID_MEC,,,,,,,,,,
OWID_MOD,Modena,Modena,Europe,,,,OWID_MOD,,,,,,,,,,
OWID_NAG,Nagorno-Karabakh,Nagorno-Karabakh,Asia,,,,OWID_NAG,,,,,,,,,,
OWID_PMA,Parma,Parma,Europe,,,,OWID_PMA,,,,,,,,,,
OWID_RVN,Republic of Vietnam,Republic of Vietnam,Asia,,,,OWID_RVN,,,,,,,,,,
OWID_SAX,Saxony,Saxony,Europe,,,,OWID_SAX,,,,,,,,,,
OWID_SEK,Serbia excluding Kosovo,Serbia excluding Kosovo,Europe,,,,OWID_SEK,,,,,,,,,,
OWID_SIC,Two Sicilies,Two Sicilies,Europe,,,,OWID_SIC,,,,,,,,,,
OWID_SML,Somaliland,Somaliland,Africa,,,,OWID_SML,,,,,,,,,,
OWID_SOS,South Ossetia,South Ossetia,Asia,,,,OWID_SOS,,,,,,,,,,
OWID_SRM,Serbia and Montenegro,Serbia and Montenegro,Europe,,,,OWID_SRM,,,,,,,,,,
OWID_TRS,Transnistria,Transnistria,Europe,,,,OWID_TRS,,,,,,,,,,
OWID_TUS,Tuscany,Tuscany,Europe,,,,OWID_TUS,,,,,,,,,,
OWID_USS,USSR,USSR,Europe,,,,OWID_USS,,,,,,,,,,
OWID_WRL,World,World,,,,,OWID_WRL,WLD,1W,World,Aggregates,,Aggregates,Aggregates,,,
OWID_WRT,Wuerttemburg,Wuerttemburg,Europe,,,,OWID_WRT,,,,,,,,,,
OWID_YAR,Yemen Arab Republic,Yemen Arab Republic,Asia,,,,OWID_YAR,,,,,,,,,,
OWID_YGS,Yugoslavia,Yugoslavia,Europe,,,,OWID_YGS,,,,,,,,,,
OWID_YPR,Yemen People's Republic,Yemen People's Republic,Asia,,,,OWID_YPR,,,,,,,,,,
OWID_ZAN,Zanzibar,Zanzibar,Africa,,,,OWID_ZAN,,,,,,,,,,
PAK,Pakistan,Pakistan,Asia,Eastern Mediterranean,South Asia,Central and Southern Asia,PAK,PAK,PK,Pakistan,South Asia,South Asia,Lower middle income,Blend,Islamabad,72.8,30.5167
PAN,Panama,Panama,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,PAN,PAN,PA,Panama,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Panama City,-79.5188,8.99427
PCN,Pitcairn,Pitcairn,Oceania,,,Oceania,PCN,,,,,,,,,,
PER,Peru,Peru,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,PER,PER,PE,Peru,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Lima,-77.0465,-12.0931
PHL,Philippines,Philippines,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,PHL,PHL,PH,Philippines,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Manila,121.035,14.5515
PLW,Palau,Palau,Oceania,Western Pacific,East Asia and Pacific,Oceania,PLW,PLW,PW,Palau,East Asia & Pacific,,High income,IBRD,Koror,134.479,7.34194
PNG,Papua New Guinea,Papua New Guinea,Oceania,Western Pacific,East Asia and Pacific,Oceania,PNG,PNG,PG,Papua New Guinea,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,Blend,Port Moresby,147.194,-9.47357
POL,Poland,Poland,Europe,Europe,Europe and Central Asia,Europe and Northern America,POL,POL,PL,Poland,Europe & Central Asia,,High income,IBRD,Warsaw,21.02,52.26
PRI,Puerto Rico,Puerto Rico,North America,,Latin America and Caribbean,Latin America and Caribbean,PRI,PRI,PR,Puerto Rico,Latin America & Caribbean ,,High income,Not classified,San Juan,-66,18.23
PRK,"Korea, Dem. People's Rep.",North Korea,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,PRK,PRK,KP,"Korea, Dem. People's Rep.",East Asia & Pacific,East Asia & Pacific (excluding high income),Low income,Not classified,Pyongyang,125.754,39.0319
PRT,Portugal,Portugal,Europe,Europe,Europe and Central Asia,Europe and Northern America,PRT,PRT,PT,Portugal,Europe & Central Asia,,High income,Not classified,Lisbon,-9.13552,38.7072
PRY,Paraguay,Paraguay,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,PRY,PRY,PY,Paraguay,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Asuncion,-57.6362,-25.3005
PSE,West Bank and Gaza,Palestine,Asia,,Middle East and North Africa,Northern Africa and Western Asia,PSE,PSE,PS,West Bank and Gaza,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,Not classified,,,
PYF,French Polynesia,French Polynesia,Oceania,,East Asia and Pacific,Oceania,PYF,PYF,PF,French Polynesia,East Asia & Pacific,,High income,Not classified,Papeete,-149.57,-17.535
QAT,Qatar,Qatar,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,QAT,QAT,QA,Qatar,Middle East & North Africa,,High income,Not classified,Doha,51.5082,25.2948
REU,Reunion,Reunion,Africa,,,Sub-Saharan Africa,REU,,,,,,,,,,
ROU,Romania,Romania,Europe,Europe,Europe and Central Asia,Europe and Northern America,ROU,ROU,RO,Romania,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Bucharest,26.0979,44.4479
RUS,Russian Federation,Russia,Europe,Europe,Europe and Central Asia,Europe and Northern America,RUS,RUS,RU,Russian Federation,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Moscow,37.6176,55.7558
RWA,Rwanda,Rwanda,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,RWA,RWA,RW,Rwanda,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kigali,30.0587,-1.95325
SAU,Saudi Arabia,Saudi Arabia,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,SAU,SAU,SA,Saudi Arabia,Middle East & North Africa,,High income,Not classified,Riyadh,46.6977,24.6748
SDN,Sudan,Sudan,Africa,Eastern Mediterranean,Sub-Saharan Africa,Northern Africa and Western Asia,SDN,SDN,SD,Sudan,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Khartoum,32.5363,15.5932
SEN,Senegal,Senegal,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SEN,SEN,SN,Senegal,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Dakar,-17.4734,14.7247
SGP,Singapore,Singapore,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,SGP,SGP,SG,Singapore,East Asia & Pacific,,High income,Not classified,Singapore,103.85,1.28941
SGS,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands,South America,,,Latin America and Caribbean,SGS,,,,,,,,,,
SHN,Saint Helena,Saint Helena,Africa,,,,SHN,,,,,,,,,,
SJM,Svalbard and Jan Mayen,Svalbard and Jan Mayen,Europe,,,,SJM,,,,,,,,,,
SLB,Solomon Islands,Solomon Islands,Oceania,Western Pacific,East Asia and Pacific,Oceania,SLB,SLB,SB,Solomon Islands,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Honiara,159.949,-9.42676
SLE,Sierra Leone,Sierra Leone,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SLE,SLE,SL,Sierra Leone,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Freetown,-13.2134,8.4821
SLV,El Salvador,El Salvador,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,SLV,SLV,SV,El Salvador,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Lower middle income,IBRD,San Salvador,-89.2073,13.7034
SMR,San Marino,San Marino,Europe,Europe,Europe and Central Asia,Europe and Northern America,SMR,SMR,SM,San Marino,Europe & Central Asia,,High income,Not classified,San Marino,12.4486,43.9322
SOM,Somalia,Somalia,Africa,Eastern Mediterranean,Sub-Saharan Africa,Sub-Saharan Africa,SOM,SOM,SO,Somalia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Mogadishu,45.3254,2.07515
SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon,North America,,,,SPM,,,,,,,,,,
SRB,Serbia,Serbia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SRB,SRB,RS,Serbia,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Belgrade,20.4656,44.8024
SSD,South Sudan,South Sudan,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SSD,SSD,SS,South Sudan,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Juba,31.6,4.85
STP,Sao Tome and Principe,Sao Tome and Principe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,STP,STP,ST,Sao Tome and Principe,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Sao Tome,6.6071,0.20618
SUR,Suriname,Suriname,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,SUR,SUR,SR,Suriname,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,IBRD,Paramaribo,-55.1679,5.8232
SVK,Slovak Republic,Slovakia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SVK,SVK,SK,Slovak Republic,Europe & Central Asia,,High income,Not classified,Bratislava,17.1073,48.1484
SVN,Slovenia,Slovenia,Europe,Europe,Europe and Central Asia,Europe and Northern America,SVN,SVN,SI,Slovenia,Europe & Central Asia,,High income,Not classified,Ljubljana,14.5044,46.0546
SWE,Sweden,Sweden,Europe,Europe,Europe and Central Asia,Europe and Northern America,SWE,SWE,SE,Sweden,Europe & Central Asia,,High income,Not classified,Stockholm,18.0645,59.3327
SWZ,Eswatini,Eswatini,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SWZ,SWZ,SZ,Eswatini,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IBRD,Mbabane,31.4659,-26.5225
SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part),North America,,Latin America and Caribbean,Latin America and Caribbean,SXM,SXM,SX,Sint Maarten (Dutch part),Latin America & Caribbean ,,High income,Not classified,Philipsburg,,
SYC,Seychelles,Seychelles,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,SYC,SYC,SC,Seychelles,Sub-Saharan Africa ,,High income,IBRD,Victoria,55.4466,-4.6309
SYR,Syrian Arab Republic,Syria,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,SYR,SYR,SY,Syrian Arab Republic,Middle East & North Africa,Middle East & North Africa (excluding high income),Low income,IDA,Damascus,36.3119,33.5146
TCA,Turks and Caicos Islands,Turks and Caicos Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,TCA,TCA,TC,Turks and Caicos Islands,Latin America & Caribbean ,,High income,Not classified,Grand Turk,-71.141389,21.4602778
TCD,Chad,Chad,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TCD,TCD,TD,Chad,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,N'Djamena,15.0445,12.1048
TGO,Togo,Togo,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TGO,TGO,TG,Togo,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Lome,1.2255,6.1228
THA,Thailand,Thailand,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,THA,THA,TH,Thailand,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IBRD,Bangkok,100.521,13.7308
TJK,Tajikistan,Tajikistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,TJK,TJK,TJ,Tajikistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,IDA,Dushanbe,68.7864,38.5878
TKL,Tokelau,Tokelau,Oceania,,,Oceania,TKL,,,,,,,,,,
TKM,Turkmenistan,Turkmenistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,TKM,TKM,TM,Turkmenistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Ashgabat,58.3794,37.9509
TLS,Timor-Leste,Timor-Leste,Asia,South-East Asia,East Asia and Pacific,Eastern and South-Eastern Asia,TLS,TLS,TL,Timor-Leste,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,Blend,Dili,125.567,-8.56667
TON,Tonga,Tonga,Oceania,Western Pacific,East Asia and Pacific,Oceania,TON,TON,TO,Tonga,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IDA,Nuku'alofa,-175.216,-21.136
TTO,Trinidad and Tobago,Trinidad and Tobago,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,TTO,TTO,TT,Trinidad and Tobago,Latin America & Caribbean ,,High income,IBRD,Port-of-Spain,-61.4789,10.6596
TUN,Tunisia,Tunisia,Africa,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,TUN,TUN,TN,Tunisia,Middle East & North Africa,Middle East & North Africa (excluding high income),Lower middle income,IBRD,Tunis,10.21,36.7899
TUR,Turkey,Turkey,Asia,Europe,Europe and Central Asia,Northern Africa and Western Asia,TUR,TUR,TR,Turkey,Europe & Central Asia,Europe & Central Asia (excluding high income),Upper middle income,IBRD,Ankara,32.3606,39.7153
TUV,Tuvalu,Tuvalu,Oceania,Western Pacific,East Asia and Pacific,Oceania,TUV,TUV,TV,Tuvalu,East Asia & Pacific,East Asia & Pacific (excluding high income),Upper middle income,IDA,Funafuti,179.089567,-8.6314877
TWN,"Taiwan, China",Taiwan,Asia,,,,TWN,TWN,TW,"Taiwan, China",East Asia & Pacific,,High income,Not classified,,,
TZA,Tanzania,Tanzania,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,TZA,TZA,TZ,Tanzania,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Dodoma,35.7382,-6.17486
UGA,Uganda,Uganda,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,UGA,UGA,UG,Uganda,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Low income,IDA,Kampala,32.5729,0.314269
UKR,Ukraine,Ukraine,Europe,Europe,Europe and Central Asia,Europe and Northern America,UKR,UKR,UA,Ukraine,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,IBRD,Kiev,30.5038,50.4536
UMI,United States Minor Outlying Islands,United States Minor Outlying Islands,Oceania,,,,UMI,,,,,,,,,,
URY,Uruguay,Uruguay,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,URY,URY,UY,Uruguay,Latin America & Caribbean ,,High income,IBRD,Montevideo,-56.0675,-34.8941
USA,United States,United States,North America,Americas,North America,Europe and Northern America,USA,USA,US,United States,North America,,High income,Not classified,Washington D.C.,-77.032,38.8895
UZB,Uzbekistan,Uzbekistan,Asia,Europe,Europe and Central Asia,Central and Southern Asia,UZB,UZB,UZ,Uzbekistan,Europe & Central Asia,Europe & Central Asia (excluding high income),Lower middle income,Blend,Tashkent,69.269,41.3052
VAT,Vatican,Vatican,Europe,,,,VAT,,,,,,,,,,
VCT,St. Vincent and the Grenadines,Saint Vincent and the Grenadines,North America,Americas,Latin America and Caribbean,Latin America and Caribbean,VCT,VCT,VC,St. Vincent and the Grenadines,Latin America & Caribbean ,Latin America & Caribbean (excluding high income),Upper middle income,Blend,Kingstown,-61.2653,13.2035
VEN,"Venezuela, RB",Venezuela,South America,Americas,Latin America and Caribbean,Latin America and Caribbean,VEN,VEN,VE,"Venezuela, RB",Latin America & Caribbean ,,Not classified,IBRD,Caracas,-69.8371,9.08165
VGB,British Virgin Islands,British Virgin Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,VGB,VGB,VG,British Virgin Islands,Latin America & Caribbean ,,High income,Not classified,Road Town,-64.623056,18.431389
VIR,Virgin Islands (U.S.),United States Virgin Islands,North America,,Latin America and Caribbean,Latin America and Caribbean,VIR,VIR,VI,Virgin Islands (U.S.),Latin America & Caribbean ,,High income,Not classified,Charlotte Amalie,-64.8963,18.3358
VNM,Vietnam,Vietnam,Asia,Western Pacific,East Asia and Pacific,Eastern and South-Eastern Asia,VNM,VNM,VN,Vietnam,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IBRD,Hanoi,105.825,21.0069
VUT,Vanuatu,Vanuatu,Oceania,Western Pacific,East Asia and Pacific,Oceania,VUT,VUT,VU,Vanuatu,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Port-Vila,168.321,-17.7404
WLF,Wallis and Futuna Islands,Wallis and Futuna Islands,Oceania,,,Oceania,WLF,,,,,,,,,,
WSM,Samoa,Samoa,Oceania,Western Pacific,East Asia and Pacific,Oceania,WSM,WSM,WS,Samoa,East Asia & Pacific,East Asia & Pacific (excluding high income),Lower middle income,IDA,Apia,-171.752,-13.8314
YEM,"Yemen, Rep.",Yemen,Asia,Eastern Mediterranean,Middle East and North Africa,Northern Africa and Western Asia,YEM,YEM,YE,"Yemen, Rep.",Middle East & North Africa,Middle East & North Africa (excluding high income),Low income,IDA,Sana'a,44.2075,15.352
ZAF,South Africa,South Africa,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZAF,ZAF,ZA,South Africa,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Upper middle income,IBRD,Pretoria,28.1871,-25.746
ZMB,Zambia,Zambia,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZMB,ZMB,ZM,Zambia,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,IDA,Lusaka,28.2937,-15.3982
ZWE,Zimbabwe,Zimbabwe,Africa,Africa,Sub-Saharan Africa,Sub-Saharan Africa,ZWE,ZWE,ZW,Zimbabwe,Sub-Saharan Africa ,Sub-Saharan Africa (excluding high income),Lower middle income,Blend,Harare,31.0672,-17.8312
AFE,Africa Eastern and Southern,,,,,,,AFE,ZH,Africa Eastern and Southern,Aggregates,,Aggregates,Aggregates,,,
